caseid,mobilpo_wparty_oth,postvote_presvtwho_oth,postvote_vtpresdec,postvote_prefprwho_oth,ofcrec_speaker,ofcrec_vp,ofcrec_pmuk,ofcrec_cj,mip_prob1,mip_prob2,mip_prob3,mip_mostprob,fairjob_opin_oth,abort_dpc4_oth,abort_rpc4_oth,abort_dem4_oth,abort_rep4_oth,aapost_hire_oth,cses_ptycont_oth,pohisp_hispnews_oth,pohisp_renglish_oth,pohisp_rspanish_oth,CASISTARTPO_IWRSET6
1751,,,Long before,,No Idea,No idea,No idea,Don't know,The debt,The economy,Unemployment,The unemployment,,,,,,,,,,,banana
1752,,,,,I don't know.,he's the vice president,I don't know,I have no idea.,"The economy, we don't build up our economy, we'll lose everything",,,,,,,,,,,,,,yogurt
1753,,,3 DAYS,,Speaker of the House,Vice President,Prime Minister of Great Britian,Chief Justice of the Supreme Ct,extreme liberalisms,financial problems,foreign policy,extreme liberalism,,,,,,,,,,,Nothing
1754,,,3 months,,chariman of the house,vice president,dk dk,superme court judge,leadership,economy,immaraation,leadership,,,,,,,,,,,egg
1755,,,,,House of Representatives,VP,DK,DK,Obamacare.  The cost and confusion.,So much trouble in the world. We will have a war.,Abortion. Being legal or not.,Obamacare.,,,,,,,,,,,orange
1756,,,A week,,DK,Vice President,DK,Supreme Court,Economy,Health Insurance,Social Security System,Health Care  and  Insurance,,,,,,,,,,,toast
1757,,,,,republican person he runs the house,Vice president,dont know//,dont know // repubican// senate,poverty,jobs,,jobs,,,,,,,,,,,nothing
1758,,,2 yrs ago,,dont know//,vice pres.,dont know//,dont know//,jobs,health,,health,,,,,,,,,,,egs hashbrown
1759,,,,,dk,dk,dk,dk,fuel prices and race,,,,,,,,,,,,,,peanut butter and jelly sandwich
1760,,,4 yrs,,dk,vice pres.,dk,dk,health care,crimes,economy,economy,,,,,,,,,,,nothing
1761,,,,,dk,dk,dk,dk,jobs,medical health,,jobs,,,,,,,,,,,toast
1762,,,When he was nominated.,,NO,vp,no,sUPREME cOURT - cHIEF jUSTICE,Getting away from God and his principles.  W,Homosexuality,Aboration,Getting away from  God and his principlals.,,,,,,,,,,,CEARL AND MILK
1763,,,,,DK Senate/,Mayor?,Major?,Candidate for mayor,Financial issues.  Hard to find jobs.,Health insurance Not everyone qualifies.,,Health insurance,,,,,,,,,,,bagel
1764,,,many months,,don't know x dk house of rep,Vice President,i have no idea x house of rep if we need to guess,sounds like a speech writer,Unemployment x no one has a job,"pick a poison x the debt, our national debt",climate change x it's changing,"employment, no question",,,,,,,,,,,Black coffee and an english muffin
1765,,,A year,,DK,Vice President,Something in the Senate,DK,The economy,The lack of family values and morality,Immigration,The ecomony,,,,,,,,,,,banana
1766,,,Months,,Speaker of the House,Vice President,DK,Judge the Supreme Court Judge,The economy - If we go with the health care reform we will go broke,Middle East conflict - It needs to stop,Labor Unions - one person works and has to pay for three people areen't working,DK,,,,,,,,,,,nothing
1767,,,when I got to the voting booth,,dk,vice pres,dk,dk,Poor Ecomny,Lack of Job Growth,Health Insurance,Job Growth,,,,,,,,,,,"eggs, ham, toast, juice"
1768,,,,,majority leader,vice pres,dk,dk,"Immigration, Illigel",Unemployment too much,too much government,Government regulation,,,,,,,,,,,apple peanutbutter
1769,,,2 yrs,,speaker of the house,Vice Pres,dk,cheif justice,"Education, more realistic about it , one size does not fit all","Budget, have to change out ways","Forgin policy, middle east Iraeal and the palinstineis",Economy,,,,,,,,,,,cereal
1770,,,longer than a week,,House of Representatives Speaker,vice president,not sure no guess,one of the justices,Morals. There aren't any anymore. The young people aren't learning from the older people and everything is going to go downhill from here on out.,the economy. Will it's goring -Were going to go over the fiscal Cliff here soon. We have to realize taxes have to be raised and some of the goodies people have gotten have to be lowered.,,the economy,,,,,,,,,,,fruitandcereal
1771,,,,,I don't know. DK,Vice President.,Priminister,I'm not sure. DK,"Economy. Rise in unemployment and a decrease in job income, and the day to day items that we buy are more expensive. The cost of living is higher.",Gun control.,immigration. The transparency of illigal aliens is not fair. We've made some progress on who is illigal can leave and who can stay compared to other nations.,"The first one, economy, unemployment.",,,,,,,,,,,coffee
1772,,,seconds,,Speaker of the House,Vice president,Prime Minister of Brittain,Supreme Court Judge,Unemployment,Healthcare,Education,Unemployment,,,,,,,,,,,pp0p
1773,,,a second,,speaker of the house,vice president,do not know,U.N. Ambassador,urban city development,Violence,Jobs,Jobs,,,,,,,,,,,"l,mik9hnu"
1774,,,one year before,,Speaker of the House,Vice President,DK,Supreme court Justice,economy,education,crime,economy,,,,,,,,,,,wdwedwe
1775,,,,,dk,vice president,dk,dk,"economy, its is really bad shape right now and people cant get the business they need","environment, global warming is on the rise and is more than being put public",more funding for science and technology.,economy,,,,,,,,,,,An onion bagel with vegetable cream cheese and a latte
1776,,,,,dk,vice president,dk,dk,"healthcare, govt should help pay for more",poor and unemployment,"war, gone on too long",healthcare,,,,,,,,,,,bagel
1777,,,4 years agi,,Speaker of the House,Vice President,"That's interesting, isn't he a journalist?",A judge,Health Care,The education of our young people,"Govt Subsidies to Farmers, Oil Companies, Universities, to big Business, they don't consider them corp welfare, but they are, loop holes for taxes on the wealthy and they need to do another stimulus, our infrastructure is crumbling, also fix the post office, stop taking pension money from P.O. Leg past in 2006 takes $ from PO to pay pension  and  hlth care for 75 yrs in adv",Infrastructure,,,,,,"I'm for unbiased hiring based upon a person's education, experience and credentials, but I know that doesn't exist always, Can they do the job? Are they qualified? but I know our society is not color blind",,,,,pancakes
1778,,,4 yrs,,dk,Vice President,dk,dk,The economy,health care,Too much support for Israel,The economy,"Should not be based on skin color, equal opptnty for all",,,,,,,,,,bagel and cheese
1779,,,,,dk,dk,dk,dk,jobs,poverty,,jobs,,,,,,,,,,,nothing
1780,,,,,no,dk,dk,dk,war,overseas money,,too m any police stations,,,,,,,,,,,cereal
1781,,,,,speakefof hpuse,vp,england prie mi izf,supreme coutr judge,unemployment//no,immigration,poverty,unempliyment,,,,,,,,,,,yoggurt
1782,,,2 weeks,,i don't know//no,I don't know//no,don't know//no,no/don't know,lack of jobs,the lies the govt. tells,no,the jobs,,,,,,,,,,,nothing
1783,,,I did early voting so that's two weeks.,,he's the speaker of the house of representatives,vice president,I don't know//no,"he's in the supreme jurors, the supreme court or something like that.","the structure of it. if you want a job you should be able to get a job, if you need something to eat you should be able to get it.  You be able to get what you need",so many different nationality of people,no,so many different nationalities I think,,,,,,,,,,,chiiikenrice
1784,,,,,I do not know,vice president,I don't know// no,"one of the supreme court, I'm not sure",I think it's job opportunities,I thibnk the whole gay marriage thing,"the war//iraq and afganistan, there are so many, libia, i don't know if israel is on the list","i would say job opportunity, just because I'm a college student and want to get a job afer i graduate",,,,,,,,,,,no
1785,,,4 yrs ago,,DK,VICE PRESIDENT,DK,DK,UNEMPLOYMNET/ BASISICALLY NOT ENOUGH JOBS TO GO AROUND FOR THE PEOPLE THAT ARE UNEMPLOYEEED/ OR I CAN SAY THAT THE STANDARDS ARE SO HIGH MANY DONT QUALIFY FOR THE POSITIONS THAT ARE AVAILABLE//NO,POVERTY/ BASICALLY NOT ENOUGH FOOD AND IN OUR COMMUNITY THEY CANT GET HELP BECAUS ETHEY DONT QUALIFY. PEOPLE ARE COMING OUT LOOKING FOR FOOD HELP/ PEOPLE HAVE TO BE LIVING IN THE STREETS  CRISIS CAN HAPPEN ANYTIME// FOOD IS NEED THERE IS A LACK OF FOOD//NO,HEALTH CARE/ HEALTH CARE IS EXPENSIVE PEOPLE CANT AFFORD HEALTH CARE // I DONT HAVE HEALTH CARE I WORK FOR A NON PROFIT WHO DOES NOT GIVE HEALTH INSURANCE/ I WORK BUT CANT AFFORD THE RATES. GOING TO THE EMERGENCY ROOM FOR HEALTH /NEED AFFORADABLE HEALTH CARE//NO,UNEMPLOYMENT,,,,,,,,,,,MUFFIN
1786,,,,,Govner,Vice president,Secretary of state,tresary,Global warming,Deficit,,Deficit,,,,,,,,,,,cerial
1787,,,Before the election came about,,I don't know,Vice President,Never heard that name,Never heard ofvhim either,economy,Healthcare benefits,,Ecomomy,,,,,,,,,,,bacon and eggs
1788,,,4 years ago,,Lead of the republicans in the house,vice president,I don't know,I don't know about him,jobs,race,Climate change,Jobs,,,,,,,,,,,a bowl of cereal
1789,,,,,I donot know,Vice President,I do not know,Dont know,Money// the ecnomyc// war// jods,That is about it,n0,"education, lack of teachers, student loan payments",,,,,,,,,,,bacon egggs and grits
1790,,,Almost emitaitty,,head of reublican party,Vice President,Have no iead// cannot guess,Cheif HJustice,Proverty,greed,hatered,greed,,,,,,,,,,,oatmeal
1791,,,9 months before election,,DK,VICE PRESIDENT,DK,DK,JOBS/ NOT ENOGH JOB IN THE ECONOMY A LOT OF PEP THAT NEED TO BE WORKING CANT FIND JOBS AND NEED TO BE ABLE TO WORK//NO,WAR/ A LOT BEING SENT OVER AN D ALOT OF PEE DONT EVN NO WHT THE WAR IS ABOUT//NO,NO MORE MENTIONED,JOBS,,,,,,,,,,,NO
1792,,,,,,,,,,,,,,,,,,,,,,,
1793,,,couple of months,,speaker of the house,vuce president,he the prime minster of england,i dk,"economy\\the lack of support for small business thru unreasonable taxation across every leverl, reinforcment of big cvorptorations as the determinents of our fiscal policies the entrenchment of the welfare class who are both uneducated and n encourage towork becuz of minimum wage",education\\the funding of education allows promotes all different levels of discriminatuin based on equal tax \rates educators are n considered a vaulable par t of the community/needs to be national standards 4 accomplishment rather than local /teachers held accountable for student success,"healthcare and healtcare reform the growing socialization of healtcare, its expense quality of healthcare",economy,,,,,,,,,,,biscuit and egg
1794,,,,,think hs is the majority senat leader I am not sure,vp,no idea,no idea,jobs\\we have to create jobs,immigration has to be dealth with\\ have to enforce the laws already on the books dont need a new one,housing industry\\ find a way to get it going again homes start selling which ties back to jobs,jobs,,,,,,,,,,,bagel
1795,,,"early on shortly into the campaign, couple of months in",,DK,VP,DK,DK,NATIONAL DEBT,HEALTHCARE,,DEBT,,,,,,,,,,,TOAST
1796,,,,,,,,,,,,,,,,,,,,,,,
1797,,,,,He's Speaker of the House - majority whip or whatever they call them.,"Rather, not say. [to his wife - rather not say. I know he's the vice president.]","I don't know. I heard his name on the news but can't remember what it was about. He was advisor, I think. But don't know.",I don't know. DK.,We don't have a Senate or a Congress that's doing anything for the United States or for the people.,The presidency of the United States - not the person but the presidency doesn't seem to have a plan either domestically or for foreign policies.,I don't know that much about political-military intervention stuff; I just know if we had a Congress  and  a Senate  and  a President that would all work together our country would come back to life again and get our people back to work.,"Economic problems. We need to stop giving, giving to all the people. I'm sitting here w/ a family. My [FAMILY MEMBER REDACTED] got dibiliting [DETAIL REDACTED]. My [FAMILY MEMBER REDACTED] is on disability. I have a [FAMILY MEMBER REDACTED] on disability. I've got another [FAMILY MEMBER REDACTED] on disability. That's nuts. We need to get WPA or something back in business and get these people working and paying for somehting. I worked for [DETAIL REDACTED]  and  the workforce is what keeps things going. There's nothing wrong with these people. They can walk. If they couldn't walk that's be different. But most are only partially disabled. Not enough to cause us to give then disabled.",,,,,,,,,,,egg
1798,,,4 years,,Speaker of the House,Vice President,DK,DK,Jobs,Fiscal Cliff,Wounded Military,Jobs,,,,,,,,,,,cereal
1799,,,2 weeks,,DK,vice president,DK,DK,education,economy,jail system,education,,,,,,,,,,,"bannana bread, butter"
1800,,,4 months,,dk,Vice President,dk,State Treasurer,The deficit,Energy,Jobs,DEFICIT,,,,,,,,,,,Hot cakes
1801,,,,,DK,DK,DK,DK,"economy, how our money",healthcare,war/terrorism,economy,,,,,,,,,,,rice cake
1802,,,4 yrs ago,,dk,dk,dk,dk,guns fights and the killings,"money, some people can't get a job .  unable to maintain paying their bills.",,economy,,,,,,,,,,,apples
1803,,,I DECIDED THAT DAY,,DK,DK,DK,DK,//UNEMPLOYMENT HARD TO GET A JOB.  TOO MANY PEOPLE DO NOT HAVE A JOB.,"HEALTH HARD TO GET, PEOPLE WHO NEED HEALTH CAN GET IT. WELFARE DINED ME.",UNEQUAL JUSTICE SYSTEMS,UNEMPLOYMENT,,,,,,,,,,,APPLESAUCE
1804,,,about one year,,Can't remember,I don't remember,don't know,don't know,The economy/jobs/,"Medical benefits, Obama tried with that,hopefully we will keep that in, medicine is so high",No,"Jobs/ that says it all, we need jobs/ whole lot of people are out of work/ we need jobs",,,,,,,,,,,coffee
1805,,,,,Speaker of the House,Vice President of the Democratic Party,Never heard of him,is he from Massachusetts?,Deficit/,Ending the war in Afghanistan,Immigration/the illegals which do pay tax should be given refuge,the budget deficit,,,,,,,,,,,eggs
1806,,,"decided to vote for romney as soon as he became the candidate, june, 1212",,speaker of the house,vice president,british prime minister,chief justice of the supreme court,"debt//puts country in dangerous position, threatens national security//no",national security// threat of terrorism// general decline inmorals weakens country//no,immigration issue//inhumane to keep millions of people enslaved and needing to hide within country// enables terrorists to enter the u.s.// immoral to force them to accept lower wages//no,terrorism,,,,,,,,,,,EGGS
1807,,,11 months,,not sure,Vice President,Not sure,not sure,"Economics, I agree with the tax rate increases for the people who make over $250,000.",Unemployment,health care,The economy,,,,,,,,,,,orange juice
1808,,,Over a year,,He's the Speakerofthe House,Vice President,who knows?,Not familiarwith,Jobs/,Health care,No comment,Jobs,,,,,,,,,,,nothing
1809,,,4 years,,I don't remember,Vice president,DK,DK,"Terrorists/ because they are always plotting on the US, trying to bring us down and bombing us",Taxes are too high they need to come down for the middle classes,DK,Terrorists and their aquiring nuclear weapons,,,,,,,,,,,eggs
1810,,,2 mos,,dk,VP,dk,dk,unemployment,healthcare costs,federal deficit; cut spending,unemployment,,,,,,,,,,,nothing
1811,,,,,republican speaker of the house,Vice president,dk,dk,the economy,division due to far right tea party republicians. the control on republican law makers,,The economy.,,,,,,,,,,,nothing
1812,,,,,Governtment party,Vice President,Senator,Government party,Recession,Gas prices,,,,,,,,I don't think that's true,,,,,ceral
1813,,,,,Republican House of Senatr,Vice President,Senate,House of Representative,"Economy, unemployment  and  War",,,,,,,,,Not sure,,,,,toast
1814,,,,,,,,,,,,,,,,,,,,,,,
1815,,,Couple of months before election day,,Republican-House of Representative,Vice-President,DK,DK,Economy,Foreign Polocy,,Economy,,,,,,,,,,,Cereal
1816,,,Siempre/Always,,Camara de Senado,Representante,Camara de Senado,Senado,Economia,Racizmo,,,,,,,,,,,,,Nada
1817,,,1 year,,speaker of the house,vice president,dont know. i heard the name house of representative. you got me on that one.,i couldnt tell you on this one.,"jobs./i htink is just....how can i out this, i guess lack of knowledge. too much international. / yeah that's good.","stop the war in Afghabistan, bring the troops home./ that's it./",no i don't know.,i' going to say jobs here in America.,,,,,,,,,,,bacan
1818,,,4 yrs,,DK,DK,DK,DK,"more jobs. / there are not enough education, some people dont want to work for little or nothing but they dont have good education for better job.",place to stay for the homeless./,"need more schools , the schools are too full./ not enough teachers, need more classrooms to thing down the classes./",jobs.,,,,,,,,,,,eggs
1819,,,,,no sure/ DK,not sure/ DK,DK,no/DK,"jobs/ they are not hiring right now, its like its on hold or something./",unemployment/ its hard to get it when someone applies./,/cant think of any other problem/,jobs,,,,,,,,,,,dont no
1820,,,1 year,,DK,secretary of defense,DK,DK,the economy/but i think its getting better.,too many guns.,not on the top of my head.,the economy,,,,,,,,,,,nothing
1821,,,,,"DK, i have no idea the senate",vice -president,house of representative,district mayor,"economy has gone down again, flatuation.",lazy people/ they just want to be on welfare/,war/ needs to end/,inflatuation,,,,,,,,,,,I have not eaten breakfast this morning
1822,,,,,US house of representative,he is the US democratic vice-president,i'm not sure...i'll say the house of representative.,i think he is republican governor. No he is not a governor he has to be from the senate.,"i would have to say the deficit, its horrible they need to eliminate, decrease the deficit. /One party is blaming the other and its both they're problem.",i would have to say relationships with another countries./ no /,"The situation we have with people abusing the welfare system. If you are on young you should go to school, work and then be responsible for yourself. An d they should give it to the with stipulations.",Out of all three of them: the deficit.,,,,,,,,,,,nothing
1823,,,6 months,,i dont even remember voting for him. /DK/,vice-president,"that nae sounds familiar, but again i can remember/ DK /",aint he a representative? state or us? / DK /,lack of communication between house or representative and the voting public.,"patroling the world, or being the police force of the world./ we cant afford it to send our man  and  woman to fight somebodyelses war. our main concern should be protecting us.","the debt, the national debt./ its out of control, neither the house of the senate, neither the republican or the democrats are going to fix./",communication. you cannot do either one of those without communication.,,,,,,,,,,,Sausage and biscuits with gravy
1824,,,,,im not sure.,DK,DK,DK,jobs/ there aint no jobs.,"money, we are in debt.",no.we have a lot but i cant think of.,money,,,,,,,,,,,chorizo and beans
1825,,,,,speaker of house,vice president,dk,dk,ECONOMY NEEDS TO BE FIXED,HEALTHCARE,WAR ON DRUGS,ECONOMY,,,,,,,,,,,EGGS AND BACON
1827,,,,,dk,VICE PRESIDENT,DK,DK,homeless people,use our own gas instead of from another country,giving too many services and people too lazy to work,lazy people getting unemployment,,,,,,,,,,,egg bacon toast chocolate
1828,,,,,dnk,dnk,dnk,dkn,to many immigrants,bad economy,high unemployement rate,bad economy,,,,,,,,,,,cafe
1829,,,,,dk,vice president,dk,dk,rising number of poverty,none,no,poverty,,,,,,,,,,,eggs
1830,,,,,house speaker,vice president,dk,supreme court chief justice,economy,healthcare,education not enough funding,economy,,,,,,,,,,,bagel and juice
1831,,,may 2012,,senate minority leader,vicepresident,prime minister UK,chief supreme court justice,spending,agricultural stability,homeland security,spending,,,,,,,,,,,No Breakfast
1832,,,the day before//,,i dont know who that is//,is that the ummm that is not the vice president is it.... it is ok////,i dont know who that is///,i dont know what that is//,money issues/i dont know the recession and all them impact that it has on the people and businesses//,,,,,,,,,,,,,,steak and eggs
1833,,,quickly,,i do not know who that is//,he is the vice president//,dont know//,he sounds familiar but I dont know//,foreign affairs// we are trying to please too many countries at one time//,jobs// loosing too many jobs to other countries//,border control// we need to pay more attention to our borders and secure our borders//,jobs,,,,,,,,,,,ham
1834,,,as soon as i knew he was running for the first election//,,"no i am bad with the names, I know who they are when I see them//",he is the vice president//,i dont know who he is//,dont know//,"social gap between poor and rich// there are parts of town that have people with really nice homes that enjoy lots of services just because they have money and right next to them they are people with very little income and therefore they dont enjoy the same benefits as people with high income and no one that has the power to do something about it, is actually doing something about it.  Like letting the Poor and rich kids go to the same school//",,,,,,,,,,,,,,"scrambled eggs, bacon and orange juice."
1835,,,i have been going strongly with obama for 4 years!//,,no idea,vice president,no idea,does not ring a bell,jobs// there are not enough jobs// there are more people out of jobs than there are jobs and also we need jobs for every age.//,,,,,,,,,,,,,,egg and milk
1836,,,,,no se ///,creo haber escuchado pero nose exactamente quien es,no se //,no se //,economia// no esta tan buena por todas las deudas que tiene//,"inmigracion// estan tratando de sacar a todas las personas creando otro problema, para mi seria mejor que aprovaran una reforma inmigratoria para asi enforzar la economia//",las guerras// Israel con Gasa y los Estados Unidos no tarda en llegar a invadir// se mete mucho en los conflictos de guerra por que le gusta la guerra.//,inmigracion,,,,,,,,,,,huevos con pan
1837,,,,,,,,,,,,,,,,,,,,,,,
1838,,,,,speaker of the house,Vice President,DK X Dk,Dn X DK,government X corrupt,debt crisus X govt spends too much money on things not related to our county - too much foreign aid,,Govvernment,,,,,,,,,,,klggui
1839,,,,,dk,vp,dk,dk,no work,,,,,,,,,,,,,,vyvy
1840,,,,,dkk,dk,dk,dk,war,homelessness veterans not being treated well not getting benefits they deserve,food stamp distibution,homelessness,,,,,,if can do the job color shouldn't matter,,,,,hhh
1841,,,,,,,,,,,,,,,,,,,,,,,
1842,,,,,Speaker of the House,Vice President,Prime Minister England,Chief Justice Supreme Court,Overall wasteful spending by government,Lack of enforcement of immigration issues,Health Care reform,Overspending,,,,,,,,,,,Fruits and yogurt
1843,,,2 years,,Speaker of the House,DK,DK,DK,Economy,Too muchspending.,Welfare reform,Economy,,,,,,,,,,,bt=
1844,,,4 yrs ago,,Speaker of the house,Vice President,Prime Minister of England,"Chief Justice, Supreme Court",The federal deficit,Immigration reform,Social programs,The ecomony,,,,,,,,,,,Waffles
1845,,,Over 3 and a half years,,He's the Speaker of the House,Vice President,Prime Minister of Great Britain,Chief Justice of the Supreme Court,"Income inequality// It creates animosity, because rich people are getting so rich so fast and they are getting greedy and we don't need to create class divisions through tax structures.",Poverty// America is too rich to have hungry children and people living under bridges.,"Regressive Tax Structure// Most taxes land hardest on the poorest people, it hurts them more takes more money out of their pocket.",I'd say poverty.,,,,,,,,,,,"eggs, toast, sausage, coffee"
1846,,,a year,,I don't know.//I've heard the name before but I can't connect it.,Vice president,Never heard of him//No guess.,I haven't heard of him either.,The deficit//It just keeps growing larger without any stable plans to decrease it.  It really bugs me that both sides can't come to an agrrement or seem to want to work together.//That's it.,Immigration.//I think it's aproblem because theres mamny many people trying to get over here to better their lives. It's 50/50. Many are on the straight andnarrow and many arenet and that's hard on the ones that are. There has to be a better way to screen them--to find the ones that are not that want illegal stuff.//However you cut it we are all immigrants here.,Unemployment//On the R side I hear if your give tax breaks they will create job.  Iin returen if you don't geive breaks they will demolish jobs and that will put it in a downward sprial.  It makes it seem that it's all about greed.  It seems like its about the bottom line instead of having actual people working. That's it.,The deficit.,,,,,,,,,,,eggs
1847,,,,,speaker of the house,vice president,dk,supreme court chief justice,"National debt, financial// government is spending too much//",the move towards acceptance of gay marriages// which is a lessening of Biblical values//,health insurance//,financial issues,,,,,,,,,,,sausage burrito
1848,,,,,dk X,dk X,dk X,dk X,economy,enempolyment,military X not doung enough or doing too much,economy,,,,,,,,,,,pancakes
1849,,,,,dk X financial advisor,vicepresident,dk X dk,dk X military?,healthcare,war in afghanistan,dependancy in foreign fuel,healthcare,,,,,,,,,,,busuits and gravy with sausage
1850,,,,,dk,works in the whitehouse,dk,dk,drugs,troops in Afganistan,,troops in Afganistan,,,,,,,,,,,sausage
1851,,,,,dk,Senator,Senator,Govenor,unemployment,military in war,welfare,,,,,,,,,,,,eggs and bacon
1852,,,As soon as he started running,,dk,VP,President right hand man,senator,taxes,political unrest,hungry families,nations debt,,,,,,,,,,,coffee
1853,,,weeks,,Over the House of Representatives,Vice President of the U.S.,Congressman,Railroad Commisioner,People need to work-we have no work.,The Fiscal Cliff is going to come up if both the parties can't get themselves together.  They need to get together and do whats right.,,The economy,,,,,,Neither for or against,,,,,"yes, toast and sausage"
1854,,,,,DK,DK,DK,DK,Muslims is my number 1 concern; taking Christianity out of our schools I am not concerned about the money problems I just have a problem with taking God out of the schools.,"Yes, the other bad problem are the illegal people coming over here-we don't have room for ourselves.",,The illegals crossing over into this country.,,,,,,,,,,,Toast and eggs
1855,,,a year ago,,house of rep,VP OF US,DK,CHIEF JUSTICE,"NON BI PARTIIONSHIP, big company greed,",Jobs,how diverse we are and racial issues,jobs,,,,,,,,,,,eggs and sausages
1856,,,,,,,,,,,,,,,,,,,,,,,
1857,,,,,dk,dk,dk,dk,dk,dk,,,,,,,,,,,,,eggs
1858,,,,,house of rep house speaker,vice president,house,house speaaker,jobs,social security,Welfare,jobs,,,,,,,,,,,eggs
1859,,,1 wk,,DK,Vice Pres,DK,cabinet member,economic situation,environmental problems,unemployment rate,environmental problems,,,,,,,,,,,nothing
1860,,,4 years,,speaker of the house,vice president,"an enlishman , head of parliament.",dk,economic condition of the country,immigration problem.,healthcare,economy,,,,,,,,,,,cereal
1861,,,4 years ago,,speaker of the house,vice president,dk,supreme court justice,economy,education,healthcare,economy,,,,,,,,,,,cereal
1862,,,,,,,,,,,,,,,,,,,,,,,
1863,,,,,DK,Vice President,DK,DK,inequalilties,coporate greed,education// too lower standards,inequalities,,,,,,,,,,,Air
1864,,,I decided when the President annouunced that he was going to run for a second term.,,I think he is the speaker of the house,He is the Vice President of the United States.,I have not idea.,I do not know.//no I just don't know him,The economic//It has been slow to increase//nothing else,unemployment,lack of affordable housing,unemployment,,,,,,,,,,,no
1865,,,a couple weeks,,congressman,vice president,senator,senator,economy//need to create jobs,,,,,,,,,,,,,,tea
1866,,,,,dk,"dk/I,ve heard the name before",dk I have heard of him,dk,NAFTA//You can't import every thing and put the people out of work and have the country survive it just won't work,pollution laws on industries//all the jobs are shipped out to othercountruies who do not have these laws and they the other countries opollute the same atmosphere,,nafta,,,,,,,,,,,tea
1867,,,4 YEARS,,dk/dk,VICEPRESIDENT,dk/dk,dk/dk,economy growth,health care,education,economy growth,,,,,,,,,,,pancakes
1868,,,,,DK,Vice President,DK,DK,"Economy, not good.  Not enough money to go around, even with two wage earners.",Gas prices too high - related to the Economy.,People on welfare - some people on welfare take advantage of the program.  More people need it and don't qualify.,The economy.,,,,,,,,,,,Pancakes
1869,,,,,DK,DK,DK,DK,Unemployment; not good for the economy.,,,,,,,,,,,,,,yes
1870,,,,,DK; Senate?,House Representative,DK: U.S. Senate,DK: U.S. Representative,Economy; so many people without jobs who can't afford their bills.,Devastation and poverty related to major storms.,"The war in Afganistan; so many people over them, so much killing.",Our economy.,,,,,,,,,,,malt o meal and toast
1871,,,,,DK,Republican with Obama,DK,DK,Economy; we need jobs.,,,,,,,,,,,,,,coffee
1872,,,,,,,,,,,,,,,,,,,,,,,
1873,,,,,DK,DK,Democratic,DK,"MOney, no jobs, poverty and the war/terrorism.  The recession because there are no jobs; the poor people in the streets are not getting help; the war in Iraq and the terrorism is not contained.//none",no,no,The recession.,,,,,,,,,,,bacon and eggs
1874,,,A few years,,DK,Vice President,Senate or Mayor; is he a republican?,I think he is in Congress; I don't know.,The job search;not finding jobs.`,No,No.,War,,,,,,,,,,,food
1875,,,Long Time,,DK,Vice President,DK,DK,"The one problem now, I would say communication and the ability to see what is going on.  Not ommunication with the constituents; //none",,,,,,,,,,,,,,bagel
1876,,Jill Stein,1 month,,speaker of the house,vice president,public speaker for the press,supreme court,quality of education,the amount of poverty stricken people,the increase in illegal immigration,lack of quality in education,,,,,,,,,,,nothing
1877,,,4 yrs ago,,dk,vice president,dk,senate,"econony, we are spending more then what we are making.","HEALTH CARE TOO EXPENSIVE FOR THE POOR, HORRIBLE SYSTEM",,ECONOMY,,,,,,,,,,,THANKSGIVING
1878,,,WHEN HE  WON THE FIRST  TERM I KNEW I WAS GOING  TO VOTES FOR2ND TERMS,,SPEAKER OF HOUSE,VICE  PRESIDENT,DK,DK,"PREJUDICE IS THERE, PEOPLE THINKS IT NOT, IT DONT MATTER WE HAVE A BLACK PRESIDENT, THEY TRIED TO BUY THE PRESIDENCY, THEY WERE DETERMINE NOT TO LET HIS BLACK GUY IN AGAIN.","ECONOMY, JOBS WHY DON'T WE HAVE THEM, THERE ARE JOBS TO BE HAD, BUT THE POWER THAT BE FOR WHAT EVER REASON, THEY ARE THERE TO HAVE, BUT WE DONT HAVE THEM","RELIGIOUS RIGHTS, THE GOVERNMENT IS TRYING TO TAKE OVER, TO MENTION GOD OR JESUS IS A CRIME.",IT IS A GODLESS COUNTRY.,,,,,,,,,,,DID NOT EAT
1879,,,,,dk,vice president,dk,dk,economics,how negative people feel in this country,morally decline,deficet,,,,,,,,,,,9am
1880,,,,,unknown,dont know,dont know,dk,the homeless//unemployment//taxes,imigration,no,unemployment,,,,,,,,,,,eggs beans potatos
1881,,,for awhile,,dk,vice president,dk,dk,war,jobs,deficit,deficit,,,,,,,,,,,eggs
1882,,,4 years ago,,republican speaker,vice president,british prime minister,chief justice,"the poor ecomony, jobs and unemployment",health care people who worked have less health care and those that didn't is getting ssi which is full covered medicaid,,health care,,,,,,,,,,,cottage cheese peaches coffee
1883,,,,,Dont Know // none,Vice President,DK //none,DK // none,Employment // Job markets in relationship to people's ability to work //,"Homeless // We just have too many eople without homes, lack of shelters //",,"Employment, the ability to get people back into the work force",,,,,,,,,,,oranges
1884,,,,,DK,DK,DK,DK,economy//no jobs lots of unemployment,health care//not understand why after 21 taken off medicare/medical still not making enough money and hasn't seen a doctor since because of cost,violence/drugs/cracked heads in neighborhoods,economy,,,,,,,,,,,i havent ate yet.
